url,bairro,aluguel,condominio,iptu,seguro_incendio,taxa_serviço,total,metragem,quarto,banheiro,vaga_carro,andar,aceita_pet,mobilia,metro_prox
https://www.quintoandar.com.br/imovel/893329968?house_tags=newAd&house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A537%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Liberdade,R$ 1.900,R$ 424,R$ 5,R$ 25,R$ 38,R$ 2.392,57 m²,1 quarto,1 banheiro,1 vaga,18º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/893340695?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A538%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Santa Cecília,R$ 1.190,R$ 460,R$ 0,R$ 16,R$ 23,R$ 1.689,56 m²,1 quarto,1 banheiro,Sem vaga,11º andar,Aceita pet,Mobiliado,Metrô próx.
https://www.quintoandar.com.br/imovel/893338596?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A540%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Aclimação,R$ 2.330,R$ 450,R$ 5,R$ 30,R$ 46,R$ 2.861,48 m²,1 quarto,1 banheiro,1 vaga,10º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/893370652?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A541%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Liberdade,R$ 1.850,R$ 418,R$ 6,R$ 24,R$ 37,R$ 2.335,44 m²,1 quarto,1 banheiro,1 vaga,3º andar,Aceita pet,Mobiliado,Metrô próx.
https://www.quintoandar.com.br/imovel/893377003?house_tags=newAd&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A542%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Vila Guilherme,R$ 2.200,R$ 392,R$ 10,R$ 28,R$ 44,R$ 2.674,62 m²,2 quartos,2 banheiros,1 vaga,8º andar,Aceita pet,Sem mobília,Não próx.
https://www.quintoandar.com.br/imovel/893320327?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A543%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Pari,R$ 1.200,R$ 0,R$ 100,R$ 16,R$ 24,R$ 1.340,32 m²,2 quartos,1 banheiro,Sem vaga,2º andar,Não aceita,Sem mobília,Não próx.
https://www.quintoandar.com.br/imovel/892799583?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A545%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Perdizes,R$ 1.600,R$ 405,R$ 0,R$ 21,R$ 32,R$ 2.058,50 m²,2 quartos,1 banheiro,Sem vaga,9º andar,Aceita pet,Sem mobília,Não próx.
https://www.quintoandar.com.br/imovel/893357739?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A546%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Barra Funda,R$ 1.350,R$ 440,R$ 0,R$ 18,R$ 27,R$ 1.835,50 m²,1 quarto,1 banheiro,Sem vaga,12º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/893334470?house_tags=newAd&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A548%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Ipiranga,R$ 1.190,Incluso,R$ 0,R$ 16,R$ 23,R$ 1.229,40 m²,1 quarto,1 banheiro,Sem vaga,-,Aceita pet,Sem mobília,Não próx.
https://www.quintoandar.com.br/imovel/893253277?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A549%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Ipiranga,R$ 1.370,R$ 350,R$ 120,R$ 18,R$ 27,R$ 1.885,70 m²,2 quartos,1 banheiro,Sem vaga,1º andar,Aceita pet,Sem mobília,Metrô próx.
