url,bairro,aluguel,condominio,iptu,seguro_incendio,taxa_serviço,total,metragem,quarto,banheiro,vaga_carro,andar,aceita_pet,mobilia,metro_prox
https://www.quintoandar.com.br/imovel/893375185?house_tags=newAd&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A860%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Vila Mariana,R$ 1.400,R$ 223,R$ 52,R$ 18,R$ 28,R$ 1.721,28 m²,1 quarto,1 banheiro,Sem vaga,6º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/893322283?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A861%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Sumaré,R$ 12.000,R$ 0,R$ 995,R$ 199,R$ 240,R$ 13.430,"Vila Madalena, São Paulo","Sumaré, São Paulo","Pacaembu, São Paulo","Vila Madalena, São Paulo","Pinheiros, São Paulo",370 m²,4 quartos,5 banheiros
https://www.quintoandar.com.br/imovel/893171254?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A862%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Santa Cecília,R$ 880,R$ 400,R$ 38,R$ 12,R$ 17,R$ 1.347,30 m²,1 quarto,1 banheiro,Sem vaga,2º andar,Não aceita,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/893287728?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A863%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Casa Verde,R$ 2.850,R$ 359,R$ 20,R$ 37,R$ 57,R$ 3.323,65 m²,2 quartos,2 banheiros,1 vaga,9º andar,Aceita pet,Sem mobília,Não próx.
https://www.quintoandar.com.br/imovel/892904498?house_tags=rentPriceDecreased&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A864%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Jardim Paulista,R$ 2.200,R$ 663,R$ 95,R$ 28,R$ 44,R$ 3.030,37 m²,1 quarto,1 banheiro,Sem vaga,5º andar,Aceita pet,Sem mobília,Metrô próx.
https://www.quintoandar.com.br/imovel/893059558?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A865%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Jardim Paulista,R$ 3.800,R$ 1.300,R$ 192,R$ 49,R$ 76,R$ 5.417,70 m²,1 quarto,1 banheiro,1 vaga,2º andar,Aceita pet,Mobiliado,Metrô próx.
https://www.quintoandar.com.br/imovel/893360734?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A866%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Bela Vista,R$ 2.400,R$ 828,R$ 0,R$ 31,R$ 48,R$ 3.307,75 m²,2 quartos,1 banheiro,1 vaga,13º andar,Aceita pet,Mobiliado,Metrô próx.
https://www.quintoandar.com.br/imovel/892976718?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A520%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Cambuci,R$ 2.100,R$ 180,R$ 25,R$ 27,R$ 42,R$ 2.374,"Aclimação, São Paulo","Cambuci, São Paulo","Cambuci, São Paulo","Cambuci, São Paulo","Aclimação, São Paulo",118 m²,3 quartos,1 banheiro
https://www.quintoandar.com.br/imovel/893172612?search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A868%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Jardim Paulista,R$ 2.400,R$ 342,R$ 0,R$ 31,R$ 48,R$ 2.821,37 m²,1 quarto,1 banheiro,Sem vaga,6º andar,Não aceita,Mobiliado,Metrô próx.
https://www.quintoandar.com.br/imovel/893378762?house_tags=newAd&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A870%2C%22personalization%22%3Atrue%7D&search_id=%224bf69054f19a11eb87180a0adc3b16b0%22&from_route=%22search_results%22,Mais em Santa Cecília,R$ 2.700,R$ 1.000,R$ 130,R$ 35,R$ 54,R$ 3.919,97 m²,3 quartos,2 banheiros,1 vaga,5º andar,Aceita pet,Sem mobília,Metrô próx.
